      time,         vof [      0.9         0     0.125] - [      0.9         1     0.125],         vof [      1.4         0     0.125] - [      1.4         1     0.125],         vof [      1.9         0     0.125] - [      1.9         1     0.125],         vof [      2.5         0     0.125] - [      2.5         1     0.125],         vof [      3.5         0     0.125] - [      3.5         1     0.125],         vof [        5         0     0.125] - [        5         1     0.125],         vof [      6.7         0     0.125] - [      6.7         1     0.125],         vof [      8.4         0     0.125] - [      8.4         1     0.125],         vof [     10.2         0     0.125] - [     10.2         1     0.125]
2.2667e+00,                                                         4.817682726707365193e-01,                                                         4.881927578885021934e-01,                                                         4.772119431449324822e-01,                                                         4.789441173654045980e-01,                                                         4.741253746008244341e-01,                                                         4.746133485278275499e-01,                                                         4.714918154445219001e-01,                                                         4.627915566786107715e-01,                                                         4.655206361935392279e-01
2.3333e+00,                                                         4.821596404929096580e-01,                                                         4.883303257473637360e-01,                                                         4.773631957034280004e-01,                                                         4.791469588276405789e-01,                                                         4.743107880316930758e-01,                                                         4.746754394603316940e-01,                                                         4.715483689660548983e-01,                                                         4.629103065353628588e-01,                                                         4.661557881543317294e-01
2.4000e+00,                                                         4.824935593223444452e-01,                                                         4.884472336948015858e-01,                                                         4.774623730034042168e-01,                                                         4.792692524440992918e-01,                                                         4.744541076342252972e-01,                                                         4.747169111306643319e-01,                                                         4.715927651607786375e-01,                                                         4.630202487757077989e-01,                                                         4.665997221440395526e-01
2.4667e+00,                                                         4.826290370208209390e-01,                                                         4.886077796497050318e-01,                                                         4.776207096723601997e-01,                                                         4.794823023485694224e-01,                                                         4.746409681028191940e-01,                                                         4.747782069777271574e-01,                                                         4.716494114344292332e-01,                                                         4.631464468909183840e-01,                                                         4.667531475750916758e-01
2.5333e+00,                                                         4.828437405908680979e-01,                                                         4.886646740699930325e-01,                                                         4.776657768819961847e-01,                                                         4.795695034103487631e-01,                                                         4.747632719059576845e-01,                                                         4.748189286955855071e-01,                                                         4.717180627136465243e-01,                                                         4.633103184893813675e-01,                                                         4.672492765083798294e-01
2.6000e+00,                                                         4.830699291788906891e-01,                                                         4.888035503725740027e-01,                                                         4.777948885508315202e-01,                                                         4.797603433222095148e-01,                                                         4.749328296667975069e-01,                                                         4.748686031290811904e-01,                                                         4.717607390485977770e-01,                                                         4.634130441079455376e-01,                                                         4.675802530101582088e-01
2.6667e+00,                                                         4.824975631688335209e-01,                                                         4.889666837088069706e-01,                                                         4.779057047016038728e-01,                                                         4.798954483059729159e-01,                                                         4.750851366090029226e-01,                                                         4.749212439163383870e-01,                                                         4.718264951584431044e-01,                                                         4.635919028728256452e-01,                                                         4.677073791238781642e-01
2.7333e+00,                                                         4.830107268764967099e-01,                                                         4.890979059050548639e-01,                                                         4.780187942835618098e-01,                                                         4.800751066281986335e-01,                                                         4.752498280263215968e-01,                                                         4.749754481519094518e-01,                                                         4.718784942696619966e-01,                                                         4.637340406602707965e-01,                                                         4.681728137071262119e-01
2.8000e+00,                                                         4.832490444929208873e-01,                                                         4.891564656515534071e-01,                                                         4.780489684214197510e-01,                                                         4.801507176502247676e-01,                                                         4.753637253274898833e-01,                                                         4.750167939852077414e-01,                                                         4.719414833787543007e-01,                                                         4.639047402711157231e-01,                                                         4.684889131122410011e-01
2.8667e+00,                                                         4.833935976287804248e-01,                                                         4.893381315167039669e-01,                                                         4.782047314172517272e-01,                                                         4.803588370593801504e-01,                                                         4.755481369305857853e-01,                                                         4.750856786593234404e-01,                                                         4.719983797038047046e-01,                                                         4.640519344814135749e-01,                                                         4.685513980306155180e-01
